Address1,Address2,Administrative Autority,County,Latitude,Longitude,Name
Bridge St," Abbeyfeale West,  Abbeyfeale,  Co. Limerick,  Ireland",Limerick City and County Council,Limerick,52.38397459999999,-9.301578,Abbeyfeale Library
Main St," Blackabbey,  Adare,  Co. Limerick,  Ireland",Limerick City and County Council,Limerick,52.564622,-8.790106,Adare Library
The Quay," Askeaton,  Co. Limerick,  Ireland",Limerick City and County Council,Limerick,52.6008845,-8.973165400000003,Askeaton Library
Caherconlish Library," Hundredacres East,  Caherconlish,  Co. Limerick,  Ireland",Limerick City and County Council,Limerick,52.595662100000006,-8.4723136,Caherconlish Library
Gortnascarry," Cappamore,  Co. Limerick,  Ireland",Limerick City and County Council,Limerick,52.6154628,-8.335975399999999,Cappamore Library
Crescent Shopping Centre," Dooradoyle Rd,  Dooradoyle,  Limerick,  Co. Limerick,  V94 AP03,  Ireland",Limerick City and County Council,Limerick,52.6393458,-8.646317699999999,Dooradoyle Library
Dromcollogher Library," Church St,  Carroward East,  Dromcolliher,  Co. Limerick,  Ireland",Limerick City and County Council,Limerick,52.3391373,-8.9102031,Dromcollogher Library
Main St," Ballynacragga North,  Foynes,  Co. Limerick,  Ireland",Limerick City and County Council,Limerick,52.6111534,-9.10652,Foynes Library
Galbally Library," Killinane,  Galbally,  Co. Limerick,  Ireland",Limerick City and County Council,Limerick,52.4004179,-8.294469900000001,Galbally Library
Main St," Ballynacragga North,  Foynes,  Co. Limerick,  Ireland",Limerick City and County Council,Limerick,52.6111534,-9.10652,Glin Library
Gortboy," Newcastle West,  Co. Limerick,  Ireland",Limerick City and County Council,Limerick,52.4539972,-9.056870300000002,Hospital Library
Main Street Lower," Kilfinnane,  Kilfinane,  Co. Limerick,  Ireland",Limerick City and County Council,Limerick,52.3597021,-8.4670905,Kilfinane Library
Aras Mainchi Seoighe," Kilmallock,  Co. Limerick,  Ireland",Limerick City and County Council,Limerick,52.3984546,-8.571439100000001,Kilmallock Library
Gortboy," Newcastle West,  Co. Limerick,  Ireland",Limerick City and County Council,Limerick,52.4539972,-9.056870300000002,Newcastle West Library
Rathkeale," Co. Limerick,  Ireland",Limerick City and County Council,Limerick,52.52380669999999,-8.9370966,Rathkeale
Lissanalta House," Dooradoyle Rd,  Dooradoyle,  Limerick,  Ireland",Limerick City and County Council,Limerick,52.633444999999995,-8.641691900000001,Lissanalta House
Watch House Cross Shopping Centre," Moyross,  Limerick,  Co. Limerick,  Ireland",Limerick City and County Council,Limerick,52.67866120000001,-8.638258100000002,Watch House Cross Library
The Granary," Michael St,  Limerick,  Ireland",Limerick City and County Council,Limerick,52.666095999999996,-8.622753999999999,Limerick City Library
Main St," Blackabbey,  Adare,  Co. Limerick,  Ireland",Limerick City and County Council,Limerick,52.564622,-8.790106,Roxboro Library
